id,skuid,gender,primarycategory,brand,framecolor,lensmaterial,lenscolor,material,shape,weight,size,price,style,features,description,name,discount percentage,publish,type,secondarycategory,brandalias,materialalias,stylealias,typealias,barcode,shortdescription,gender2,update time,rank,dimensions,frameshapeurl,framestyleurl,brandurl,segment,vto,origin,mfd_by,pkg_by,mktd_by,rm_source,mfg_date,exp_date,no_of_images,is_onsale,Created time,frame_cost,Deal of Day,comfort,naming_system,has_images,image_folder,image_count,first_image,all_images
54800,E19B8501,Men,eyeglasses,BERG,White,Polycarbonate,Transparent,acetate,Square,12,Medium,139,Full Frame,"Square shape ideal for multifocals, Hinges, Lightweight, Universal Fit, Durable Acetate construction, Polycarbonate lens compatible","A square frame in a stylish white finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers hinges, lightweight, universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010001C1,E19B8501 White Full rim Square Eyeglasses for Men,Women,2023-03-10 13:49:46.896 +0530,19461,51-18-142-41,square-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,11,True,2024-02-28 22:28:03,3,False,"Hinges,Lightweight,Universal fit",M.1001.SQ.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E19B8501/E19B8501_6.jpg
54801,E12B8501,Men,eyeglasses,BERG,Black,Polycarbonate,Transparent,acetate,Square,12,Medium,139,Full Frame,"Square shape ideal for multifocals, Hinges, Lightweight, Universal Fit, Durable Acetate construction, Polycarbonate lens compatible","A square frame in a stylish black finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers hinges, lightweight, universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010001C2,E12B8501 Black Full rim Square Eyeglasses for Men,Women,2023-03-10 13:49:46.897 +0530,19462,51-18-142-42,square-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,11,True,2024-02-29 03:26:49,3,False,"Hinges,Lightweight,Universal fit",M.1002.SQ.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12B8501/E12B8501_6.jpg
18905,E12A8722,Men,eyeglasses,MIYAMA,Black,Polycarbonate,Transparent,metallic,Rectangle,12,Medium,149,Rimless,"Rectangle shape ideal for multifocals, Nosepad, Hinges, Lightweight, Universal Fit, Durable Metallic construction","A rectangle frame in a stylish black finish, crafted from premium metallic for durability and everyday comfort. Designed for men, it offers nosepad, hinges, lightweight,  universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",MIYAMA,149,1,0,premium-eyeglasses,Miyama,metallic,rimless,,EYEMYEYE-MIY030022C7,E12A8722 Black Rimless Rectangle Eyeglasses for Men and Women,Women,2022-09-22 16:31:59.477 +0530,20178,52-17-160-33,rectangle-eyeglasses,rimless-eyeglasses,/brands/miyama-eyeglasses,P,False,India,,,,,,,8,True,2024-02-29 03:26:49,3,False,"Nosepad,Hinges,Lightweight, Universal fit",M.1003.RE.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8722/E12A8722_6.jpg
18925,E79A8516,Men,eyeglasses,BERG,Grey transparent,Polycarbonate,Transparent,acetate,Wayfarer,12,Small,139,Full Frame,"Wayfarer shape ideal for multifocals, Hinges, Lightweight, Universal Fit, Durable Acetate construction, Polycarbonate lens compatible","A wayfarer frame in a stylish grey transparent finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers hinges, lightweight, universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010016C6,E79A8516 Grey transparent Full rim Wayfarer Eyeglasses for Men and Women,Women,2022-09-22 16:33:55.277 +0530,20198,50-17.5-142-40,wayfarer-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,8,False,2024-02-29 03:26:49,3,False,"Hinges,Lightweight,Universal fit",M.1004.WA.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E79A8516/E79A8516_6.jpg
72024,E25Z8830,Men,eyeglasses,LEON,Gold,Polycarbonate,Transparent,stainless steel,Round,12,Small,119,Full Frame,"Round shape ideal for multifocals, Hinges, Lightweight, Universal Fit, Durable Stainless Steel construction, Polycarbonate lens compatible","A round frame in a stylish gold finish, crafted from premium stainless steel for durability and everyday comfort. Designed for men, it offers hinges, lightweight, universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",LEON,119,1,0,offline-collection,Leon,stainless steel,fullframe,,EYEMYEYE-LON050030C1,E25Z8830 Gold Full rim Round Eyeglasses for Men and Women,Women,2023-04-21 14:51:19.133 +0530,35205,49-18-140-45,round-eyeglasses,full-frame-eyeglasses,/brands/leon-eyeglasses,P,False,India,,,,,,,14,False,2024-02-29 03:26:49,3,False,"Hinges,Lightweight,Universal fit",M.1005.RO.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E25Z8830/E25Z8830_6.jpg
18790,E12A8538,Men,eyeglasses,BERG,Black,Polycarbonate,Transparent,acetate,Round,12,Small,139,Full Frame,"Round shape ideal for multifocals, Hinges, Lightweight, Universal Fit, Durable Acetate construction, Polycarbonate lens compatible","A round frame in a stylish black finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers hinges, lightweight, universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010038C2,E12A8538 Black Full rim Round Eyeglasses for Men and Women,Women,2022-09-22 16:20:48.741 +0530,20061,49-20-140-43,round-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,8,True,2024-02-29 03:26:49,3,False,"Hinges,Lightweight,Universal fit",M.1006.RO.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8538/E12A8538_6.jpg
18602,E76A8615,Men,eyeglasses,MIYAMA,Gun,Polycarbonate,Transparent,metallic,Square,12,Medium,149,Full Frame,"Square shape ideal for multifocals, Hinges, Lightweight, Universal Fit, Durable Metallic construction, Polycarbonate lens compatible","A square frame in a stylish gun finish, crafted from premium metallic for durability and everyday comfort. Designed for men, it offers hinges, lightweight, universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",MIYAMA,149,1,0,premium-eyeglasses,Miyama,metallic,fullframe,,EYEMYEYE-MIY020015C3,E76A8615 Gun Full rim Square Eyeglasses for Men,Women,2022-09-22 16:02:48.139 +0530,19870,54-17-145-44,square-eyeglasses,full-frame-eyeglasses,/brands/miyama-eyeglasses,P,False,India,,,,,,,8,True,2024-02-29 03:26:49,3,False,"Hinges,Lightweight,Universal fit",M.1007.SQ.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E76A8615/E76A8615_6.jpg
18786,E15B8540,Men,eyeglasses,BERG,Brown,Polycarbonate,Transparent,acetate,Square,12,Small,139,Full Frame,"Square shape ideal for multifocals, Nosepad, Lightweight, Universal Fit, Durable Acetate construction, Polycarbonate lens compatible","A square frame in a stylish brown finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers nosepad, lightweight,  universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010040C3,E15B8540 Brown Full rim Square Eyeglasses for Men and Women,Women,2022-09-22 16:20:15.634 +0530,20055,50-17.5-145-38,square-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,8,True,2024-02-29 03:26:49,3,False,"Nosepad,Lightweight, Universal fit",M.1008.SQ.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15B8540/E15B8540_6.jpg
18787,E15A8538,Men,eyeglasses,BERG,Brown,Polycarbonate,Transparent,acetate,Round,12,Small,139,Full Frame,"Round shape ideal for multifocals, Nosepad, Hinges, Lightweight, Universal Fit, Durable Acetate construction","A round frame in a stylish brown finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers nosepad, hinges, lightweight,  universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010038C4,E15A8538 Brown Full rim Round Eyeglasses for Men and Women,Women,2022-09-22 16:20:32.167 +0530,20058,49-20-140-43,round-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,8,False,2024-02-29 03:26:49,3,False,"Nosepad,Hinges,Lightweight, Universal fit",M.1009.RO.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E15A8538/E15A8538_6.jpg
18788,E12A8512,Men,eyeglasses,BERG,Black,Polycarbonate,Transparent,acetate,Round,12,Small,139,Full Frame,"Round shape ideal for multifocals, Nosepad, Lightweight, Universal Fit, Durable Acetate construction, Polycarbonate lens compatible","A round frame in a stylish black finish, crafted from premium acetate for durability and everyday comfort. Designed for men, it offers nosepad, lightweight,  universal fit so you can enjoy all-day wear without compromise. Perfect for those who value both style and practicality.",BERG,139,1,0,premium-eyeglasses,Berg,acetate,fullframe,,EYEMYEYE-BER010012C1,E12A8512 Black Full rim Round Eyeglasses for Men and Women,Women,2022-09-22 16:20:37.656 +0530,20059,47-19-140-41,round-eyeglasses,full-frame-eyeglasses,/brands/berg-eyeglasses,P,False,India,,,,,,,8,True,2024-02-29 03:26:49,3,False,"Nosepad,Lightweight, Universal fit",M.1010.RO.1.6.A,Yes,Spexmojo,6,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_1.jpg,/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_1.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_2.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_3.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_4.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_5.jpg;/home/selfeey-india/Documents/AI_Projects/Multifolks_Frontend/Spexmojo_images/Spexmojo_images/E12A8512/E12A8512_6.jpg
